STATUS | wrapper  | 2024/11/22 14:45:36 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2024/11/22 14:45:37 | CTRL-C trapped.  Forcing immediate shutdown.
STATUS | wrapper  | 2024/11/22 14:45:37 | CTRL-C trapped.  Forcing immediate shutdown.
ERROR  | wrapper  | 2024/11/22 14:45:37 | JVM did not exit on request, termination requested.
STATUS | wrapper  | 2024/11/22 14:45:37 | JVM exited after being requested to terminate.
STATUS | wrapper  | 2024/11/22 14:45:37 | CTRL-C trapped.  Forcing immediate shutdown.
STATUS | wrapper  | 2024/11/22 14:45:37 | <-- Wrapper Stopped
STATUS | wrapper  | 2024/11/22 14:46:03 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/11/22 14:46:03 | Java Service Wrapper Professional Edition 64-bit 3.5.51
STATUS | wrapper  | 2024/11/22 14:46:03 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/11/22 14:46:03 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/11/22 14:46:03 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2024/11/22 14:46:03 | 
STATUS | wrapper  | 2024/11/22 14:46:04 | Launching a JVM...
INFO   | jvm 1    | 2024/11/22 14:46:04 | WrapperManager: Initializing...
INFO   | jvm 1    | 2024/11/22 14:46:06 | Starting Server from location: C:\Users\praveen-22566\Desktop\MickeyShopProject\AdventNetMickeyLite\AdventNet\MickeyLite
INFO   | jvm 1    | 2024/11/22 14:46:06 | Free edition...
INFO   | jvm 1    | 2024/11/22 14:46:06 | 
INFO   | jvm 1    | 2024/11/22 14:46:11 | Modules already Populated
INFO   | jvm 1    | 2024/11/22 14:46:11 | 
INFO   | jvm 1    | 2024/11/22 14:46:11 |      ModulePreStartProcess :: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | Persistence                                       [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 |      ModulePostStartProcess:: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | Audit                                             [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | Authentication                                    [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | Authorization                                     [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | CustomView                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | TaskEngine                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | Tomcat                                            [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | ClientFramework                                   [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | ClientComponents                                  [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | onlineshop_data_dictionary                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | 
INFO   | jvm 1    | 2024/11/22 14:46:11 | Creating Services
INFO   | jvm 1    | 2024/11/22 14:46:11 | CacheService                                      [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | PatchUpdaterService                               [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | AuthenticationService                             [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | AuthorizationService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | TaskEngineService                                 [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | WebService                                        [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | ClientFrameworkService                            [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | TemplateService                                   [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | TableTemplateService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | 
INFO   | jvm 1    | 2024/11/22 14:46:11 | Starting Services
INFO   | jvm 1    | 2024/11/22 14:46:11 | CacheService                                      [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | PatchUpdaterService                               [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | AuthenticationService                             [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | AuthorizationService                              [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:11 | TaskEngineService                                 [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:28 | WebService                                        [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:28 | ClientFrameworkService                            [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:28 | TemplateService                                   [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:28 | TableTemplateService                              [ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:46:28 | 
INFO   | jvm 1    | 2024/11/22 14:46:28 | Server started in :: [22279 ms]
INFO   | jvm 1    | 2024/11/22 14:46:28 | 
INFO   | jvm 1    | 2024/11/22 14:46:28 | Connect to: [ http://localhost:8085 ]
STATUS | wrapper  | 2024/11/22 14:47:11 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2024/11/22 14:47:12 | CTRL-C trapped.  Forcing immediate shutdown.
ERROR  | wrapper  | 2024/11/22 14:47:12 | JVM did not exit on request, termination requested.
STATUS | wrapper  | 2024/11/22 14:47:12 | JVM exited after being requested to terminate.
STATUS | wrapper  | 2024/11/22 14:47:12 | <-- Wrapper Stopped
STATUS | wrapper  | 2024/11/22 14:58:41 | --> Wrapper Started as Console
STATUS | wrapper  | 2024/11/22 14:58:41 | Java Service Wrapper Professional Edition 64-bit 3.5.51
STATUS | wrapper  | 2024/11/22 14:58:41 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2024/11/22 14:58:41 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2024/11/22 14:58:41 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2024/11/22 14:58:41 | 
STATUS | wrapper  | 2024/11/22 14:58:41 | Launching a JVM...
INFO   | jvm 1    | 2024/11/22 14:58:41 | WrapperManager: Initializing...
INFO   | jvm 1    | 2024/11/22 14:58:44 | Starting Server from location: C:\Users\praveen-22566\Desktop\MickeyShopProject\AdventNetMickeyLite\AdventNet\MickeyLite
INFO   | jvm 1    | 2024/11/22 14:58:44 | Free edition...
INFO   | jvm 1    | 2024/11/22 14:58:44 | 
INFO   | jvm 1    | 2024/11/22 14:58:48 | Modules already Populated
INFO   | jvm 1    | 2024/11/22 14:58:48 | 
INFO   | jvm 1    | 2024/11/22 14:58:48 |      ModulePreStartProcess :: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:48 | Persistence                                       [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:48 |      ModulePostStartProcess:: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | Audit                                             [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | Authentication                                    [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | Authorization                                     [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | CustomView                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | TaskEngine                                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | Tomcat                                            [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | ClientFramework                                   [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | ClientComponents                                  [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | onlineshop_data_dictionary                        [ LOADED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | 
INFO   | jvm 1    | 2024/11/22 14:58:49 | Creating Services
INFO   | jvm 1    | 2024/11/22 14:58:49 | CacheService                                      [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | PatchUpdaterService                               [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | AuthenticationService                             [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | AuthorizationService                              [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | TaskEngineService                                 [ CREATED ]
INFO   | jvm 1    | 2024/11/22 14:58:49 | WebService                                        [ CREATED ]
